2019-04-26 20:25:10,047 INFO org.springframework.boot.StartupInfoLogger [restartedMain] Starting BurgerBuilderApplication on Margad with PID 4332 (E:\Development\eclipse-workspace\burger-builder\target\classes started by Margad-Erdene in E:\Development\eclipse-workspace\burger-builder)
2019-04-26 20:25:10,061 DEBUG org.springframework.boot.StartupInfoLogger [restartedMain] Running with Spring Boot v2.1.3.RELEASE, Spring v5.1.5.RELEASE
2019-04-26 20:25:10,063 INFO org.springframework.boot.SpringApplication [restartedMain] No active profile set, falling back to default profiles: default
2019-04-26 20:25:31,840 DEBUG org.springframework.web.filter.GenericFilterBean [restartedMain] Filter 'jwtAuthenticationFilter' configured for use
2019-04-26 20:25:35,386 INFO org.springframework.boot.StartupInfoLogger [restartedMain] Started BurgerBuilderApplication in 26.269 seconds (JVM running for 31.29)
2019-04-26 20:30:00,777 INFO com.burger.controller.UserController [http-nio-8443-exec-4] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=fksdjfklsdfj, confirmPassword=madfakdfjdk, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 20:43:30,448 INFO com.burger.controller.UserController [http-nio-8443-exec-1] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=kjsfkjsdkffj, confirmPassword=skldfjskdfj, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 20:44:25,309 INFO com.burger.controller.UserController [http-nio-8443-exec-6] Register Request User(id=null, username=magad@gmail.com, firstname=mfargad, password=dkfjsdkfj, confirmPassword=sdfkjsd, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 20:47:07,545 INFO com.burger.controller.UserController [http-nio-8443-exec-1] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=kjfdksjfd, confirmPassword=dkfjsdkjf, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:06:15,279 INFO com.burger.controller.UserController [http-nio-8443-exec-4] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=margad, confirmPassword=mmkfjdkf, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:11:38,130 INFO com.burger.controller.UserController [http-nio-8443-exec-10] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=mkfjsdkjfkjdf, confirmPassword=kkjidfdf, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:12:20,801 INFO com.burger.controller.UserController [http-nio-8443-exec-4] Register Request User(id=null, username=margad@gmail.com, firstname=marggad, password=sdkfjskjf, confirmPassword=dkfksdfsfsdf, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:12:35,645 INFO com.burger.controller.UserController [http-nio-8443-exec-6] Register Request User(id=null, username=margad@gmail.com, firstname=, password=sdkfjskjf, confirmPassword=dkfksdfsfsdf, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:13:05,676 INFO com.burger.controller.UserController [http-nio-8443-exec-1] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=margad, confirmPassword=margad, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:14:06,126 INFO com.burger.controller.UserController [http-nio-8443-exec-8] Register Request User(id=null, username=margaderdene@gmail.com, firstname=margad, password=margad, confirmPassword=margad, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:15:00,517 INFO com.burger.controller.UserController [http-nio-8443-exec-5] Register Request User(id=null, username=margad@gmail.com, firstname=margad, password=margad, confirmPassword=margad, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:16:46,142 INFO com.burger.controller.UserController [http-nio-8443-exec-5] Login Request LoginRequest(username=margad@gmail.com, password=margad)
2019-04-26 21:18:24,467 INFO com.burger.controller.UserController [http-nio-8443-exec-3] Register Request User(id=null, username=margad@gmail.com, firstname=margad-erdene, password=Golomt123, confirmPassword=Golomt12, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:18:46,001 INFO com.burger.controller.UserController [http-nio-8443-exec-1] Register Request User(id=null, username=margad@gmail.com, firstname=margad-erdene, password=Golomt123, confirmPassword=Golomt123, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:19:40,726 INFO com.burger.controller.UserController [http-nio-8443-exec-2] Register Request User(id=null, username=margad@gmail.com, firstname=margad-erdene, password=Golomt123, confirmPassword=Golomt12, createdAt=null, updatedAt=null, order=[], roles=null)
2019-04-26 21:19:50,090 INFO com.burger.controller.UserController [http-nio-8443-exec-6] Register Request User(id=null, username=margad@gmail.com, firstname=margad-erdene, password=Golomt123, confirmPassword=Golomt123, createdAt=null, updatedAt=null, order=[], roles=null)
